product_id,category,price,avg_rating,stock_quantity
P0132,Fashion,181.21,4.4,184
P0133,Health & Beauty,174.23,2.7,46
P0134,Sports,25.16,4.6,499
P0135,Home & Living,91.79,2.5,473
P0136,Fashion,248.35,3.7,288
P0137,Sports,235.01,4.1,249
P0138,Food & Grocery,309.85,4.1,289
P0139,Food & Grocery,134.14,2.5,146
P0140,Sports,254.05,4.6,324
P0141,Food & Grocery,343.56,4.0,335
P0142,Fashion,323.0,2.6,383
P0143,Home & Living,320.02,4.5,395
P0144,Fashion,197.14,4.1,416
P0145,Fashion,406.55,4.6,267
P0146,Sports,196.12,4.9,329
P0147,Health & Beauty,107.31,3.2,11
P0148,Health & Beauty,54.89,2.5,498
P0149,Home & Living,311.04,3.3,89
P0150,Sports,162.89,4.6,89
P0151,Health & Beauty,173.61,3.2,390
P0152,Food & Grocery,63.49,4.2,492
P0153,Health & Beauty,468.64,2.6,216
P0154,Food & Grocery,402.72,3.2,393
P0155,Home & Living,214.62,3.9,226
P0156,Fashion,495.3,3.5,465
P0157,Fashion,128.76,4.0,150
P0158,Health & Beauty,465.72,4.6,368
P0159,Food & Grocery,341.52,4.3,354
P0160,Electronics,56.05,4.8,61
P0161,Books,250.8,3.5,396
P0162,Electronics,448.28,3.5,395
P0163,Books,479.48,4.6,264
P0164,Electronics,163.06,4.9,383
P0165,Fashion,243.85,3.7,143
P0166,Sports,226.98,3.2,24
P0167,Fashion,279.08,3.0,52
P0168,Books,396.83,4.5,108
P0169,Sports,465.81,4.9,397
P0170,Food & Grocery,277.02,3.6,214
P0171,Health & Beauty,275.23,4.3,238
P0172,Electronics,75.78,4.4,491
P0173,Food & Grocery,434.1,4.6,173
P0174,Food & Grocery,351.98,2.7,433
P0175,Health & Beauty,446.49,2.9,28
P0176,Food & Grocery,46.99,5.0,495
P0177,Health & Beauty,432.25,4.7,144
P0178,Home & Living,473.89,5.0,131
P0179,Health & Beauty,178.36,4.3,274
P0180,Books,389.69,3.9,90
P0181,Electronics,128.12,3.3,125
P0182,Sports,248.85,2.5,219
P0183,Sports,287.88,4.4,455
P0184,Electronics,63.18,4.1,0
P0185,Sports,342.11,3.1,190
P0186,Health & Beauty,241.47,2.7,416
P0187,Books,115.68,4.9,43
P0188,Home & Living,489.06,3.9,302
P0189,Books,446.12,3.8,202
P0190,Sports,459.96,3.1,146
P0191,Home & Living,484.8,3.8,232
P0192,Electronics,112.32,3.2,0
P0193,Home & Living,315.64,4.0,143
P0194,Food & Grocery,369.86,4.8,329
P0195,Fashion,475.45,4.7,459
P0196,Food & Grocery,57.84,3.3,121
P0197,Electronics,98.12,3.7,185
P0198,Sports,118.55,3.2,356
P0199,Sports,487.33,5.0,446
P0200,Home & Living,270.37,3.3,211
