customer_id,product_id,browse_date,time_spent_seconds,pages_viewed,added_to_cart
C0227,P0154,2025-11-05 23:21:07,473,6,0
C0871,P0149,2025-10-31 00:51:04,206,6,0
C0942,P0004,2026-01-28 09:06:52,192,9,0
C0941,P0020,2026-01-12 13:53:45,277,7,1
C0583,P0004,2025-08-31 18:39:46,225,14,1
C1539,P0080,2026-02-11 23:15:03,59,4,0
C0900,P0120,2025-07-04 23:38:28,540,2,0
C1694,P0082,2025-09-13 13:02:54,163,12,0
C0060,P0147,2026-03-18 01:12:05,323,14,0
C0211,P0150,2025-08-31 20:06:40,113,12,0
C0542,P0058,2025-07-24 06:00:34,121,4,0
C1728,P0019,2026-02-24 17:19:13,436,13,1
C0740,P0094,2025-09-09 07:22:52,187,1,1
C1207,P0146,2025-07-07 14:42:24,117,11,0
C0476,P0047,2026-04-26 17:25:23,122,13,0
C0161,P0145,2025-10-18 20:04:31,202,4,1
C0660,P0047,2025-07-05 21:37:26,403,6,0
C1583,P0078,2026-01-07 02:33:31,128,11,0
C1895,P0137,2025-11-07 13:39:55,404,5,0
C1529,P0061,2025-08-27 20:03:29,142,2,0
C1795,P0107,2026-03-08 08:04:53,258,6,1
C0710,P0081,2025-10-16 12:34:55,567,5,0
C1939,P0170,2025-10-23 14:58:54,551,14,0
C0922,P0069,2025-07-29 20:59:45,353,5,1
C0049,P0149,2026-05-18 23:45:19,78,5,0
C0356,P0070,2025-11-17 18:54:20,264,14,0
C0743,P0039,2025-06-15 20:20:22,317,4,0
C1862,P0041,2025-09-26 03:23:09,186,14,0
C1852,P0108,2026-01-10 13:52:49,192,9,0
C1567,P0084,2025-07-02 21:27:43,552,5,0
C0926,P0152,2025-10-19 04:49:12,418,6,0
C1244,P0135,2026-02-24 02:20:30,167,7,0
C1244,P0014,2025-12-26 04:35:34,404,6,1
C1642,P0070,2026-01-24 17:51:47,560,9,0
C1837,P0184,2025-12-05 22:10:56,254,11,0
C1465,P0021,2025-10-24 22:48:48,200,2,0
C1953,P0007,2026-02-21 06:49:20,74,2,1
C0672,P0148,2026-03-03 17:46:31,476,7,0
C1941,P0170,2025-10-09 19:05:18,496,8,0
C0896,P0142,2025-09-19 20:26:20,317,5,0
C0314,P0021,2026-03-26 05:31:27,86,5,0
C1155,P0087,2026-01-28 19:22:40,309,3,1
C0371,P0089,2025-06-23 04:08:10,388,12,0
C0445,P0169,2025-07-24 02:25:01,165,2,0
C0629,P0196,2026-04-13 19:13:27,494,9,0
C0327,P0086,2026-04-11 16:32:01,293,1,0
C1688,P0061,2025-08-18 14:51:08,577,2,0
C0028,P0186,2026-03-03 11:37:36,47,9,1
C0423,P0086,2025-08-17 22:04:20,181,1,0
C1634,P0198,2026-01-20 23:32:26,498,6,0
C0610,P0065,2026-02-02 02:46:26,521,2,0
C0022,P0112,2025-10-25 01:49:53,61,2,0
C0842,P0098,2025-08-13 22:16:04,148,3,1
C0637,P0167,2025-10-31 06:32:46,90,12,0
C0344,P0168,2025-07-14 12:28:08,298,12,0
C0571,P0138,2026-05-20 12:07:41,247,1,0
C0960,P0032,2026-04-10 20:12:17,395,5,1
C0532,P0154,2025-08-06 08:21:31,387,4,1
C1902,P0116,2026-05-07 10:17:20,218,8,1
C0744,P0079,2025-12-01 23:52:06,385,9,0
C0680,P0058,2025-07-29 16:25:27,30,1,0
C0447,P0066,2025-11-28 21:58:18,258,3,0
C1992,P0044,2026-04-14 15:11:46,101,10,1
C1012,P0006,2025-12-26 08:20:35,440,7,0
C0601,P0123,2026-05-09 06:36:41,182,11,0
C1939,P0197,2026-04-02 19:38:01,311,11,1
C0504,P0012,2025-09-05 17:05:22,590,8,0
C1944,P0041,2025-09-03 07:58:54,168,5,1
C1621,P0072,2025-12-21 08:33:21,571,9,0
C0559,P0143,2026-03-13 07:31:53,242,8,0
C1234,P0042,2025-11-13 19:27:01,472,6,0
C1292,P0130,2026-01-12 17:15:22,391,13,1
C0259,P0027,2026-02-15 01:56:51,44,6,0
C0929,P0129,2025-09-24 10:51:36,524,5,0
C0928,P0124,2026-01-01 19:30:25,264,14,1
C0966,P0110,2026-02-14 18:20:24,548,9,0
C1548,P0139,2025-10-20 16:13:03,20,1,0
C0575,P0109,2025-07-20 01:11:34,537,14,0
C0269,P0162,2025-08-03 01:59:11,264,12,0
C1126,P0059,2026-05-07 01:05:17,251,11,0
C1861,P0025,2025-10-13 02:43:14,135,1,0
C0196,P0025,2025-07-06 06:52:09,386,14,0
C0645,P0189,2026-03-05 20:21:31,480,13,0
C0265,P0116,2026-05-03 12:18:31,490,2,0
C0646,P0060,2025-09-06 19:30:03,381,11,0
C1474,P0175,2025-11-16 14:02:45,368,12,1
C0457,P0131,2026-03-15 07:23:13,592,12,0
C1822,P0021,2025-12-16 15:28:11,160,8,0
C1242,P0190,2026-02-03 21:19:14,421,5,0
C1699,P0180,2025-08-21 13:03:53,550,9,1
C0307,P0175,2025-10-18 06:47:59,342,10,0
C1099,P0185,2026-03-22 23:23:41,283,6,0
C0273,P0069,2025-11-15 10:39:26,293,4,0
C0893,P0016,2025-11-21 01:39:59,70,3,1
C0936,P0156,2025-11-14 00:30:17,51,7,0
C0454,P0148,2025-06-13 20:27:22,128,1,0
C0968,P0087,2026-04-10 22:19:24,195,3,1
C0516,P0186,2026-03-23 23:57:40,147,5,0
C0227,P0057,2026-05-27 21:19:53,306,4,0
C1678,P0145,2026-03-30 18:38:08,555,9,0
C1891,P0077,2026-04-30 07:14:03,211,2,0
C1139,P0134,2025-11-03 08:30:10,255,11,0
C0407,P0187,2025-06-27 09:19:51,358,8,0
C0558,P0038,2025-08-21 02:36:42,146,4,0
C0501,P0072,2025-11-01 05:09:17,551,3,0
C1566,P0078,2026-03-01 14:10:51,511,4,0
C1905,P0025,2026-02-06 06:28:59,428,8,0
C0270,P0154,2025-09-19 07:20:02,87,14,0
C0947,P0131,2025-08-02 03:11:42,430,3,0
C1737,P0028,2026-04-25 00:11:00,177,7,0
C1742,P0063,2026-05-19 01:27:35,77,11,1
C1660,P0119,2025-09-27 08:09:41,512,3,0
C0943,P0142,2025-10-04 02:50:49,124,6,1
C1461,P0061,2025-08-14 18:49:02,469,14,0
C0265,P0064,2026-02-09 10:29:42,380,4,0
C0089,P0142,2025-06-11 21:40:31,207,5,1
C1763,P0187,2025-07-01 02:48:22,338,14,1
C0041,P0196,2025-06-23 07:38:09,72,12,0
C1800,P0002,2026-01-11 04:52:49,131,7,0
C1040,P0062,2025-07-03 08:11:09,436,14,1
C0268,P0035,2026-01-22 10:23:19,580,14,1
C1586,P0149,2025-07-06 13:20:04,329,4,0
C1893,P0195,2026-05-03 04:50:13,205,13,0
C1929,P0068,2025-09-24 02:41:23,39,1,0
C0482,P0065,2026-01-27 03:45:23,12,13,0
C0343,P0175,2026-02-21 12:41:49,428,12,0
C0438,P0076,2025-08-12 02:01:39,178,9,1
C0659,P0026,2026-02-12 18:23:46,410,8,1
C0533,P0051,2025-06-08 15:11:48,554,4,0
C0505,P0157,2025-09-28 21:05:02,183,4,0
C1847,P0199,2026-01-14 16:47:53,352,12,1
C0772,P0150,2025-08-01 19:33:24,80,13,0
C0579,P0086,2026-02-22 13:51:57,496,2,0
C1186,P0091,2025-12-24 16:06:28,365,1,0
C1608,P0087,2025-06-29 10:27:04,266,6,0
C1689,P0145,2025-07-31 05:18:13,577,12,0
C0262,P0027,2026-02-26 20:04:22,471,12,1
C0362,P0193,2025-09-21 06:07:49,445,13,0
C1645,P0099,2025-11-14 17:52:14,428,14,0
C1315,P0176,2025-09-22 15:10:13,53,14,0
C0881,P0190,2025-07-22 10:00:37,140,11,0
C0404,P0124,2026-02-15 01:29:04,345,5,0
C1969,P0192,2025-07-03 21:32:26,322,10,0
C1387,P0054,2025-08-20 06:17:10,386,9,0
C1801,P0088,2026-04-23 05:09:04,553,1,0
C0553,P0017,2025-11-18 21:18:32,575,7,0
C0183,P0041,2026-03-18 21:55:08,555,13,1
C1728,P0011,2026-05-08 01:09:14,498,3,1
C0907,P0077,2025-08-11 09:11:43,131,14,0
C1581,P0001,2025-06-27 11:59:55,172,12,0
C0019,P0076,2026-02-27 15:40:26,588,8,0
C0957,P0109,2025-12-03 04:27:52,272,13,0
C1264,P0161,2026-03-26 12:21:10,305,10,0
C0103,P0197,2026-02-11 16:51:48,524,9,1
C0859,P0174,2025-11-06 16:49:56,347,14,0
C1005,P0175,2025-08-31 10:20:23,328,14,0
C1697,P0127,2025-10-16 14:07:54,424,2,0
C0485,P0147,2026-03-20 01:05:36,416,8,0
C1108,P0113,2025-10-04 17:05:15,336,10,0
C1779,P0143,2025-06-23 20:23:29,45,7,0
C1794,P0191,2025-07-13 10:49:43,109,10,1
C0450,P0051,2026-03-10 02:45:12,270,14,0
C0210,P0051,2026-05-20 18:11:50,122,9,1
C1401,P0039,2026-03-30 03:07:24,544,3,0
C1108,P0198,2025-12-31 16:30:55,518,13,0
C1702,P0131,2026-01-28 17:51:30,354,8,0
C0258,P0081,2026-04-15 18:32:54,272,3,0
C0235,P0065,2025-09-30 02:17:21,315,13,1
C1999,P0101,2025-12-31 16:26:33,217,14,0
C0049,P0127,2026-03-28 08:36:36,227,9,0
C1303,P0152,2026-03-30 02:31:10,509,6,0
C1820,P0021,2025-07-20 07:58:17,442,11,0
C1682,P0164,2025-10-13 05:23:24,433,7,1
C0073,P0181,2025-09-03 05:05:55,34,12,0
C1388,P0098,2025-11-26 06:37:59,455,3,0
C1180,P0172,2025-09-04 19:35:39,45,7,1
C0360,P0075,2025-09-11 19:37:24,564,10,0
C1849,P0118,2025-08-10 04:20:37,384,1,0
C1944,P0167,2025-12-20 01:18:37,294,8,0
C1692,P0165,2025-10-30 16:33:21,11,4,0
C0421,P0056,2026-04-05 14:57:19,197,4,0
C1811,P0157,2026-01-06 14:53:25,206,12,1
C0914,P0163,2025-10-31 23:19:48,431,11,1
C0126,P0139,2026-01-25 01:08:59,580,5,0
C1416,P0162,2026-04-23 18:10:08,444,12,1
C1510,P0065,2025-12-05 16:42:23,35,4,0
C1649,P0109,2026-03-10 05:24:43,438,5,0
C0926,P0120,2025-06-15 16:27:03,348,11,1
C1603,P0075,2026-03-30 03:00:37,561,4,1
C1690,P0155,2025-07-07 21:52:03,434,6,1
C0363,P0192,2026-05-17 09:01:41,238,3,1
C1842,P0006,2026-02-02 06:12:09,129,5,0
C0542,P0170,2026-04-25 07:19:49,489,10,0
C0125,P0037,2025-09-27 07:54:40,174,12,0
C1893,P0035,2025-07-26 22:51:55,91,6,1
C1732,P0018,2025-12-28 21:07:42,205,1,0
C0797,P0077,2026-03-24 02:32:29,63,14,0
C1524,P0145,2025-09-09 08:58:25,113,6,0
C0068,P0069,2025-09-11 23:22:42,169,9,0
C0305,P0141,2025-09-30 20:55:36,369,6,0
C0821,P0123,2026-02-28 06:22:40,347,3,0
C0899,P0042,2026-02-11 02:52:05,358,13,0
C1587,P0085,2026-03-14 20:45:01,387,12,0
C1557,P0044,2026-06-05 12:44:38,143,7,0
C0836,P0129,2025-10-13 07:04:56,284,13,0
C0483,P0141,2025-11-27 22:22:13,115,2,1
C0139,P0179,2026-04-11 20:48:06,513,1,1
C1123,P0082,2025-11-21 16:47:29,108,6,1
C1785,P0152,2026-01-10 23:59:47,169,7,0
C1877,P0008,2026-03-04 20:11:28,288,5,0
C0657,P0101,2025-07-01 04:25:34,168,6,0
C1683,P0064,2026-01-11 06:01:40,95,5,0
C1890,P0011,2025-11-11 11:30:03,563,12,0
C0246,P0149,2026-05-29 01:47:04,399,7,0
C0476,P0005,2026-05-31 22:45:29,188,4,0
C1961,P0046,2026-05-09 19:05:22,528,6,1
C1553,P0115,2025-07-09 19:28:26,151,10,0
C1328,P0108,2025-11-22 22:16:50,586,7,0
C1786,P0102,2025-12-06 02:40:56,591,1,0
C1982,P0151,2026-01-06 16:58:48,403,11,0
C0715,P0192,2025-10-31 22:29:29,503,2,1
C1489,P0179,2026-01-13 18:46:42,86,12,0
C1971,P0175,2025-07-05 07:03:16,369,3,0
C1072,P0073,2026-03-10 15:18:40,120,13,0
C1873,P0081,2025-12-19 19:50:35,151,6,0
C1347,P0187,2025-09-06 00:03:33,17,14,0
C1725,P0031,2025-12-10 21:11:42,118,6,0
C1373,P0171,2025-09-01 21:49:39,570,10,0
C1834,P0064,2025-10-09 06:53:19,130,5,0
C2000,P0194,2025-10-28 07:42:39,551,8,0
C1310,P0057,2025-08-24 21:02:52,307,3,1
C0019,P0114,2026-02-13 04:36:33,268,10,0
C0113,P0071,2026-01-01 10:19:58,546,7,0
C0579,P0065,2026-01-21 23:22:33,296,9,0
C1573,P0001,2025-11-11 18:19:57,553,13,0
C1768,P0136,2026-04-29 20:35:49,192,9,0
C1151,P0001,2025-10-23 01:39:17,551,2,0
C0703,P0104,2025-08-15 17:18:27,539,9,0
C0802,P0174,2025-07-15 21:06:50,388,4,1
C0414,P0102,2025-10-22 09:07:11,79,3,1
C1608,P0003,2026-03-30 13:15:31,192,13,0
C1709,P0034,2025-10-17 21:29:09,49,13,0
C0083,P0123,2025-06-17 04:27:32,362,2,0
C0936,P0145,2025-09-07 18:21:12,379,2,1
C1770,P0124,2026-06-05 16:13:36,362,12,0
C0322,P0194,2026-03-28 06:59:29,478,13,0
C0184,P0111,2026-01-30 11:25:58,512,2,0
C0295,P0195,2025-06-25 09:12:44,219,14,1
C0632,P0126,2026-03-14 22:08:45,571,11,0
C1654,P0053,2026-05-10 00:03:49,325,1,1
C1257,P0158,2025-12-18 21:49:31,441,13,0
C1557,P0147,2025-11-29 17:25:38,57,3,0
C1337,P0025,2026-04-12 09:29:32,35,1,0
C0183,P0023,2025-10-14 04:27:18,548,14,0
C1098,P0010,2026-04-28 11:15:55,488,8,1
C1590,P0052,2026-01-19 10:43:29,164,2,0
C1038,P0178,2026-02-22 17:19:45,416,14,0
C1012,P0053,2025-11-16 23:23:05,412,6,1
C1054,P0191,2026-01-09 06:27:21,264,13,0
C1083,P0008,2025-10-20 01:29:30,470,12,1
C1655,P0159,2026-02-28 12:13:25,294,2,0
C1784,P0098,2026-06-06 02:33:25,79,9,1
C1740,P0049,2026-03-24 15:27:09,595,9,0
C0991,P0093,2025-06-18 09:01:21,158,2,0
C1120,P0038,2025-08-20 11:00:28,213,7,0
C1112,P0050,2026-03-05 17:04:14,394,5,0
C0940,P0121,2025-11-12 19:27:53,161,12,0
C1675,P0121,2026-03-11 06:44:12,581,11,0
C1683,P0137,2026-05-05 22:37:20,432,4,0
C0612,P0082,2026-04-15 17:02:03,145,3,0
C0177,P0198,2025-07-18 22:18:37,572,12,0
C0691,P0165,2025-12-15 03:09:39,405,10,0
C0471,P0157,2026-05-31 00:13:34,179,7,1
C1749,P0149,2025-12-08 07:36:42,239,13,0
C1125,P0161,2025-09-12 12:28:21,540,12,0
C0523,P0017,2026-01-03 19:06:32,456,9,0
C1630,P0021,2026-04-08 08:55:01,297,10,0
C0913,P0101,2026-03-03 19:44:48,506,7,0
C0540,P0041,2025-11-07 02:48:40,359,2,0
C1792,P0105,2025-07-29 05:20:37,459,9,0
C1037,P0141,2026-01-08 15:41:25,104,2,0
C1552,P0137,2025-11-15 17:47:42,333,6,0
C1483,P0054,2026-02-01 09:11:36,104,13,0
C1879,P0173,2025-11-07 12:07:13,166,9,0
C1752,P0008,2025-11-28 10:28:30,267,4,0
C0274,P0003,2025-11-30 07:29:47,32,6,0
C0940,P0149,2026-05-28 02:44:24,544,8,0
C0822,P0182,2026-05-02 17:01:35,69,4,0
C1557,P0013,2026-06-01 09:17:45,317,1,0
C0118,P0054,2025-10-05 05:47:13,569,12,0
C1839,P0053,2026-04-01 14:13:58,590,14,0
C1549,P0165,2025-08-05 08:58:59,106,8,0
C1794,P0081,2025-11-10 23:46:04,402,10,0
C0675,P0153,2025-12-11 11:51:22,391,6,0
C0017,P0012,2025-09-07 08:16:39,186,4,1
C1560,P0029,2025-08-23 00:01:33,175,9,0
C0740,P0122,2025-08-09 23:45:32,192,10,0
C0230,P0065,2026-04-20 07:50:16,123,12,0
C0784,P0175,2025-11-07 11:58:29,469,8,0
C1628,P0186,2025-10-01 12:39:37,506,5,1
C1706,P0187,2025-07-11 21:44:40,179,14,0
C0745,P0162,2026-03-28 18:29:17,425,6,0
C1415,P0153,2026-02-26 06:41:12,37,7,0
C1978,P0007,2026-01-22 07:10:17,16,11,0
C0373,P0135,2025-07-01 13:58:14,232,3,1
C0457,P0160,2026-05-20 06:56:01,335,8,0
C0225,P0200,2025-09-04 02:10:29,49,6,0
C1083,P0132,2025-12-23 06:15:03,199,13,0
C0489,P0157,2025-11-18 19:06:26,230,12,0
C1229,P0079,2026-01-17 14:44:47,128,7,0
C1964,P0004,2026-02-15 04:55:45,108,9,0
C0631,P0133,2025-07-11 06:56:13,438,11,1
C1167,P0032,2026-01-03 19:04:13,544,6,0
C0233,P0017,2026-06-05 17:17:44,575,10,0
C1516,P0199,2025-06-21 00:55:41,366,9,1
C0026,P0025,2026-01-14 17:12:57,398,11,0
C1325,P0083,2026-05-18 05:36:11,271,13,0
C1717,P0200,2025-11-24 18:29:04,364,4,0
C1007,P0095,2026-02-04 11:09:08,416,11,0
C0491,P0065,2025-09-21 03:52:21,53,4,0
C1126,P0182,2025-08-21 10:12:21,573,9,0
C0686,P0026,2025-08-29 16:30:35,9,4,0
C1844,P0105,2026-03-15 04:28:33,463,8,0
C1590,P0161,2025-12-30 05:37:51,426,11,0
C1762,P0015,2025-08-14 00:14:49,577,10,0
C0277,P0046,2025-09-28 06:50:11,457,6,1
C1318,P0062,2025-10-17 18:15:53,450,2,0
C1614,P0046,2025-06-24 15:03:23,227,14,0
C0003,P0006,2025-09-20 13:46:15,97,8,1
C1452,P0108,2025-10-20 15:24:44,165,1,0
C1776,P0075,2026-01-13 16:02:29,337,2,0
C1547,P0095,2025-10-26 09:39:06,496,6,1
C1705,P0016,2026-04-30 07:07:50,584,3,0
C1276,P0048,2025-06-15 14:34:29,94,14,1
C1017,P0076,2025-12-18 00:06:51,143,5,1
C1625,P0018,2026-01-13 14:36:48,23,7,0
C0311,P0102,2026-02-27 19:11:37,158,6,0
C1284,P0108,2025-12-05 13:37:09,575,13,0
C1378,P0017,2026-02-15 17:23:20,249,2,1
C0930,P0008,2025-10-10 01:24:09,145,10,1
C0008,P0096,2026-03-28 12:07:11,499,14,1
C0833,P0171,2025-10-29 16:00:40,43,1,0
C0187,P0084,2026-05-25 23:46:51,97,6,1
C1068,P0137,2025-09-25 14:48:53,425,10,0
C1572,P0101,2025-07-16 09:36:34,516,12,0
C1962,P0171,2025-07-07 11:29:43,174,12,0
C0872,P0066,2025-09-02 22:35:07,571,8,0
C0944,P0091,2026-01-12 02:39:12,159,9,1
C0349,P0195,2026-03-24 05:05:01,177,10,0
C0740,P0009,2025-08-04 12:55:37,442,8,1
C1271,P0155,2025-10-22 18:03:52,550,3,0
C0129,P0160,2026-01-23 17:58:01,331,1,0
C1859,P0148,2025-07-30 11:03:17,363,11,1
C1882,P0017,2025-09-14 19:10:13,278,13,1
C0116,P0093,2026-04-18 06:03:10,95,2,0
C0324,P0193,2025-11-19 20:30:02,118,1,0
C1082,P0154,2025-12-28 11:46:02,408,4,0
C1879,P0010,2026-02-05 16:52:17,319,11,0
C1065,P0105,2025-12-12 09:25:05,197,1,0
C1302,P0098,2026-02-02 05:58:10,584,5,0
C1280,P0139,2026-02-21 13:24:32,103,12,0
C0282,P0115,2025-10-08 10:17:34,407,13,1
C0700,P0199,2026-03-23 14:28:30,307,7,0
C0327,P0154,2025-10-11 18:38:15,556,5,0
C0405,P0132,2025-12-20 02:29:07,88,2,0
C0628,P0109,2026-05-31 08:51:18,225,8,1
C0553,P0112,2025-07-19 14:33:11,151,7,0
C1582,P0156,2026-05-03 01:57:54,498,9,1
C0475,P0068,2025-09-01 09:20:40,275,3,1
C0421,P0129,2025-06-21 03:09:23,371,8,1
C1307,P0040,2025-10-27 15:25:50,193,4,1
C0994,P0024,2025-08-22 12:16:40,540,10,1
C1028,P0067,2025-07-22 13:20:24,294,9,0
C0433,P0181,2026-02-24 05:42:56,252,4,1
C0279,P0109,2025-09-04 20:04:18,585,14,0
C0181,P0062,2025-12-22 18:38:27,513,9,0
C0700,P0054,2025-10-19 20:17:22,330,5,1
C1849,P0138,2026-05-23 05:38:35,395,7,0
C1958,P0085,2025-09-03 19:40:08,321,4,0
C1539,P0128,2026-03-18 18:03:51,346,4,1
C0844,P0038,2025-07-26 22:45:00,515,4,0
C0751,P0169,2026-03-18 00:40:08,347,10,0
C0306,P0030,2026-03-06 01:54:53,541,11,0
C1971,P0185,2025-11-03 16:57:07,386,11,0
C1071,P0118,2025-07-02 12:03:02,555,8,0
C1046,P0054,2025-06-21 06:12:28,276,11,0
C1823,P0170,2026-01-11 13:46:35,206,11,0
C0162,P0009,2026-02-28 04:16:57,484,10,0
C0726,P0017,2025-06-27 13:31:41,564,4,0
C1135,P0153,2025-12-10 03:44:01,106,1,0
C1857,P0191,2026-01-09 09:34:36,567,4,0
C1105,P0127,2025-06-10 09:35:50,92,2,0
C0104,P0015,2026-03-24 08:27:43,100,7,0
C1915,P0198,2025-11-07 18:43:16,5,7,0
C1402,P0167,2026-06-06 17:38:58,513,14,0
C0313,P0081,2026-05-25 03:57:16,422,11,0
C0681,P0073,2025-10-29 04:58:09,145,6,0
C0262,P0084,2025-06-18 03:34:19,312,5,0
C1539,P0081,2025-06-21 05:05:48,579,1,0
C1100,P0112,2026-01-07 07:47:35,179,13,0
C0183,P0192,2026-04-12 23:17:29,69,1,0
C0963,P0015,2026-03-19 12:51:08,104,4,0
C1938,P0113,2025-06-17 08:29:44,47,4,0
C1443,P0078,2025-10-23 07:14:50,274,2,0
C0701,P0132,2025-12-13 08:15:57,319,13,0
C1875,P0134,2026-04-12 06:24:43,172,3,0
C0193,P0197,2025-09-28 04:10:11,287,6,0
C1000,P0013,2025-11-07 03:42:56,244,14,0
C1507,P0147,2026-05-15 21:37:55,596,11,1
C1579,P0089,2025-09-14 15:02:29,99,4,1
C0428,P0151,2026-02-06 19:37:08,518,8,0
C1046,P0115,2026-05-18 16:41:29,317,5,1
C0840,P0007,2025-12-13 20:18:36,210,8,0
C0375,P0195,2026-03-30 07:07:16,599,3,1
C1234,P0072,2026-05-01 11:55:48,128,1,0
C0113,P0012,2026-01-04 22:59:08,130,5,0
C0331,P0133,2026-01-15 13:14:36,287,12,0
C1425,P0134,2026-03-29 02:29:00,101,5,1
C0569,P0156,2026-01-30 19:14:18,73,6,0
C0888,P0059,2025-11-14 13:59:26,37,14,1
C0050,P0112,2026-05-31 16:06:51,493,3,1
C0726,P0197,2025-09-10 04:12:35,454,14,0
C0559,P0167,2025-11-03 06:02:09,456,1,0
C1165,P0084,2025-12-04 20:21:47,395,7,0
C1550,P0147,2025-06-09 03:16:47,132,6,0
C1501,P0148,2026-05-30 05:03:15,33,8,1
C0338,P0063,2026-04-19 00:51:17,365,9,1
C1416,P0062,2025-09-28 21:59:37,206,1,0
C0322,P0006,2025-07-02 19:20:17,574,5,1
C1436,P0062,2025-07-29 06:17:26,86,10,1
C1492,P0169,2026-02-10 01:56:49,208,7,0
C1019,P0131,2026-02-13 04:49:04,102,9,0
C1827,P0002,2025-12-03 03:02:56,590,6,0
C0022,P0154,2026-03-01 15:24:28,443,7,0
C0219,P0157,2025-09-18 04:10:38,499,6,0
C0020,P0041,2026-03-05 09:34:30,152,12,0
C0403,P0084,2025-07-07 17:09:25,487,2,1
C1438,P0053,2025-07-26 01:41:37,138,11,0
