transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,total_amount,payment_method,returned
T00094,C1825,P0035,2026-01-06 04:07:56,2,165.97,331.94,Cash on Delivery,0
T00095,C1485,P0076,2026-01-10 17:10:51,2,498.15,996.3,Mobile Money,1
T00096,C1598,P0138,2026-03-28 20:34:03,1,309.85,309.85,Cash on Delivery,0
T00097,C1913,P0043,2026-03-04 10:42:47,1,128.4,128.4,Mobile Money,0
T00098,C0333,P0059,2026-03-01 18:17:58,1,253.83,253.83,Cash on Delivery,1
T00099,C0820,P0188,2025-09-25 18:16:47,3,489.06,1467.18,Mobile Money,0
T00100,C1195,P0023,2025-07-03 09:48:16,2,461.33,922.66,Cash on Delivery,1
T00101,C0299,P0196,2026-04-06 22:54:06,1,57.84,57.84,Mobile Money,0
T00102,C0535,P0135,2026-03-09 01:23:18,4,91.79,367.16,Cash on Delivery,0
T00103,C0031,P0186,2026-02-20 06:19:10,3,241.47,724.41,Cash on Delivery,0
T00104,C1670,P0121,2026-03-16 04:26:26,1,351.26,351.26,Cash on Delivery,0
T00105,C0827,P0115,2026-01-30 18:36:01,1,491.01,491.01,Card,1
T00106,C0984,P0156,2026-01-08 10:30:43,2,495.3,990.6,Card,1
T00107,C1930,P0077,2025-12-26 02:54:52,1,450.71,450.71,Mobile Money,0
T00108,C1453,P0007,2025-11-04 07:27:03,1,95.79,95.79,Cash on Delivery,0
T00109,C0728,P0086,2025-11-13 21:48:10,4,13.95,55.8,Card,1
T00110,C0270,P0116,2025-10-05 17:01:42,2,20.1,40.2,Card,0
T00111,C0855,P0139,2025-09-16 21:09:49,3,134.14,402.42,Card,0
T00112,C1128,P0162,2026-05-14 02:59:31,4,448.28,1793.12,Cash on Delivery,0
T00113,C0300,P0141,2026-01-07 07:53:19,3,343.56,1030.68,Mobile Money,0
T00114,C1808,P0028,2025-07-07 20:50:47,4,86.81,347.24,Card,0
T00115,C0156,P0050,2025-09-14 19:51:14,3,117.83,353.49,Cash on Delivery,0
T00116,C1145,P0068,2025-10-03 12:15:55,4,166.35,665.4,Mobile Money,0
T00117,C1552,P0188,2026-04-20 23:21:05,4,489.06,1956.24,Cash on Delivery,0
T00118,C0561,P0053,2026-05-20 05:57:54,2,347.76,695.52,Card,0
T00119,C1364,P0164,2026-03-09 02:30:20,2,163.06,326.12,Card,0
T00120,C0376,P0154,2025-10-30 04:06:18,4,402.72,1610.88,Mobile Money,0
T00121,C1912,P0090,2026-04-16 23:47:46,2,128.98,257.96,Card,0
T00122,C0977,P0073,2025-10-14 13:32:23,1,462.72,462.72,Mobile Money,0
T00123,C0514,P0177,2026-03-13 23:22:36,2,432.25,864.5,Card,0
T00124,C1543,P0053,2026-06-07 12:17:57,3,347.76,1043.28,Mobile Money,0
T00125,C1438,P0148,2025-07-22 10:09:14,2,54.89,109.78,Card,0
T00126,C1530,P0075,2025-11-08 02:19:31,3,279.82,839.46,Mobile Money,0
T00127,C1474,P0195,2026-02-03 23:06:21,3,475.45,1426.35,Mobile Money,0
T00128,C1871,P0003,2026-03-30 04:39:48,4,82.22,328.88,Card,1
T00129,C0052,P0017,2025-08-16 10:05:35,4,65.41,261.64,Mobile Money,0
T00130,C0133,P0007,2025-09-25 14:38:24,4,95.79,383.16,Cash on Delivery,0
T00131,C1901,P0054,2026-02-20 20:47:15,1,471.74,471.74,Cash on Delivery,0
T00132,C0195,P0016,2026-04-06 19:11:30,1,119.29,119.29,Cash on Delivery,0
T00133,C1072,P0187,2025-07-05 02:36:02,3,115.68,347.04,Card,0
T00134,C0832,P0121,2026-02-14 13:50:51,3,351.26,1053.78,Card,1
T00135,C0041,P0050,2025-10-23 18:48:25,1,117.83,117.83,Card,0
T00136,C0371,P0200,2025-07-21 06:29:30,2,270.37,540.74,Mobile Money,0
T00137,C0657,P0182,2025-06-14 15:12:34,1,248.85,248.85,Mobile Money,0
T00138,C0231,P0101,2026-01-15 05:35:00,2,426.31,852.62,Cash on Delivery,1
T00139,C0479,P0041,2026-05-29 08:56:46,4,20.56,82.24,Mobile Money,0
T00140,C0278,P0163,2025-07-27 22:30:20,4,479.48,1917.92,Card,0
T00141,C1885,P0176,2026-01-03 00:33:26,1,46.99,46.99,Cash on Delivery,1
T00142,C1763,P0010,2025-07-25 21:49:33,2,487.01,974.02,Mobile Money,0
T00143,C0158,P0049,2025-09-30 11:17:34,3,181.37,544.11,Cash on Delivery,0
T00144,C1980,P0019,2025-10-09 01:07:14,3,332.95,998.85,Mobile Money,0
T00145,C1045,P0200,2025-07-30 07:03:06,1,270.37,270.37,Cash on Delivery,0
T00146,C1564,P0026,2026-04-20 15:28:31,1,295.44,295.44,Cash on Delivery,0
T00147,C0808,P0167,2025-09-25 15:12:44,1,279.08,279.08,Cash on Delivery,0
T00148,C1556,P0029,2025-11-26 05:48:34,4,387.26,1549.04,Mobile Money,0
T00149,C1420,P0074,2026-01-16 22:12:48,2,118.13,236.26,Cash on Delivery,0
T00150,C0120,P0120,2025-11-21 11:19:05,1,30.58,30.58,Mobile Money,0
T00151,C1269,P0025,2026-03-22 07:27:47,1,197.4,197.4,Cash on Delivery,0
T00152,C0393,P0004,2025-06-27 01:05:13,4,170.19,680.76,Cash on Delivery,0
T00153,C0794,P0143,2025-12-01 08:54:36,4,320.02,1280.08,Mobile Money,0
T00154,C0220,P0079,2025-08-28 14:09:57,2,449.07,898.14,Card,0
T00155,C1100,P0071,2026-05-01 19:47:04,4,196.43,785.72,Cash on Delivery,0
T00156,C0639,P0099,2025-10-10 19:52:34,4,483.49,1933.96,Cash on Delivery,1
T00157,C0334,P0032,2025-10-14 05:10:36,1,463.52,463.52,Card,0
T00158,C0892,P0013,2026-05-13 11:15:16,4,305.73,1222.92,Mobile Money,0
T00159,C0352,P0172,2026-03-03 02:37:45,1,75.78,75.78,Cash on Delivery,0
T00160,C1424,P0083,2025-10-13 00:47:34,2,333.43,666.86,Cash on Delivery,0
T00161,C1986,P0140,2025-08-02 05:14:39,2,254.05,508.1,Mobile Money,1
T00162,C1117,P0018,2025-09-16 14:28:21,1,90.82,90.82,Mobile Money,0
T00163,C1420,P0024,2026-05-31 20:04:19,2,262.81,525.62,Card,1
T00164,C0477,P0060,2025-07-25 10:16:23,4,175.81,703.24,Card,0
T00165,C1579,P0100,2025-07-14 09:08:30,1,42.3,42.3,Card,0
T00166,C0192,P0055,2025-07-20 23:45:22,4,281.26,1125.04,Card,0
T00167,C1712,P0034,2025-08-12 23:10:04,2,52.23,104.46,Mobile Money,0
T00168,C1182,P0161,2025-06-18 09:02:13,4,250.8,1003.2,Mobile Money,0
T00169,C0858,P0110,2026-02-19 18:42:31,4,253.25,1013.0,Mobile Money,0
T00170,C0327,P0079,2026-04-14 09:11:36,3,449.07,1347.21,Mobile Money,1
T00171,C0919,P0114,2025-10-02 18:21:31,1,22.79,22.79,Card,1
T00172,C1167,P0162,2025-11-15 17:07:53,4,448.28,1793.12,Card,0
T00173,C0401,P0097,2025-10-10 15:03:13,1,457.86,457.86,Cash on Delivery,1
T00174,C0317,P0064,2025-09-13 17:53:38,4,402.55,1610.2,Cash on Delivery,1
T00175,C1388,P0185,2025-12-10 12:07:29,1,342.11,342.11,Cash on Delivery,0
T00176,C0520,P0037,2025-10-25 03:58:47,3,64.2,192.6,Cash on Delivery,0
T00177,C0277,P0078,2026-01-22 18:39:20,4,143.04,572.16,Mobile Money,0
T00178,C0202,P0189,2025-10-14 18:55:08,2,446.12,892.24,Card,0
T00179,C0508,P0094,2025-07-05 04:20:52,2,118.94,237.88,Card,0
T00180,C0669,P0075,2025-07-27 21:11:51,2,279.82,559.64,Cash on Delivery,0
T00181,C0142,P0153,2025-06-11 01:14:46,2,468.64,937.28,Mobile Money,0
T00182,C1718,P0078,2025-12-09 06:09:53,2,143.04,286.08,Mobile Money,0
T00183,C1170,P0195,2025-08-22 21:22:01,2,475.45,950.9,Mobile Money,0
T00184,C0277,P0054,2026-05-23 19:10:51,4,471.74,1886.96,Mobile Money,0
T00185,C0400,P0053,2025-11-02 02:51:21,3,347.76,1043.28,Mobile Money,1
T00186,C1523,P0156,2026-03-23 17:14:18,4,495.3,1981.2,Mobile Money,1
T00187,C0576,P0055,2026-05-20 17:14:59,3,281.26,843.78,Mobile Money,0
T00188,C0239,P0193,2026-02-06 00:01:43,4,315.64,1262.56,Mobile Money,0
T00189,C1044,P0144,2026-01-28 07:30:39,2,197.14,394.28,Cash on Delivery,0
T00190,C1617,P0064,2025-11-27 04:17:10,1,402.55,402.55,Cash on Delivery,0
T00191,C1605,P0197,2026-03-26 05:57:37,2,98.12,196.24,Card,0
T00192,C1741,P0186,2025-08-06 07:56:18,3,241.47,724.41,Mobile Money,1
T00193,C1273,P0164,2025-07-05 02:23:38,2,163.06,326.12,Cash on Delivery,1
T00194,C1045,P0068,2026-05-15 21:18:16,3,166.35,499.05,Cash on Delivery,0
T00195,C0597,P0063,2025-07-02 10:12:46,4,382.0,1528.0,Cash on Delivery,0
T00196,C0111,P0134,2026-04-19 11:56:40,4,25.16,100.64,Cash on Delivery,0
T00197,C0595,P0181,2025-08-08 14:17:14,3,128.12,384.36,Cash on Delivery,0
T00198,C0460,P0102,2025-12-15 10:37:05,2,189.48,378.96,Card,0
T00199,C1404,P0078,2025-12-27 03:04:34,2,143.04,286.08,Mobile Money,0
T00200,C0888,P0140,2025-10-29 02:47:35,4,254.05,1016.2,Mobile Money,1
T00201,C0988,P0015,2025-08-24 15:49:23,3,405.16,1215.48,Card,0
T00202,C0709,P0168,2026-01-09 10:06:36,1,396.83,396.83,Cash on Delivery,1
T00203,C0727,P0197,2025-08-08 08:46:08,2,98.12,196.24,Cash on Delivery,0
T00204,C1185,P0067,2025-11-11 01:32:35,1,97.33,97.33,Cash on Delivery,0
T00205,C0149,P0171,2026-03-10 18:46:22,2,275.23,550.46,Cash on Delivery,0
T00206,C1767,P0084,2025-08-01 09:49:05,1,156.16,156.16,Card,0
T00207,C1245,P0111,2026-02-10 07:58:53,1,40.12,40.12,Mobile Money,0
T00208,C0638,P0136,2026-01-30 20:36:48,4,248.35,993.4,Card,0
T00209,C1498,P0028,2025-10-12 07:03:47,2,86.81,173.62,Card,0
T00210,C1509,P0141,2026-02-08 11:32:23,4,343.56,1374.24,Mobile Money,0
T00211,C1177,P0013,2025-12-28 23:28:19,2,305.73,611.46,Cash on Delivery,1
T00212,C1110,P0190,2025-11-20 17:26:09,3,459.96,1379.88,Card,0
T00213,C1343,P0021,2025-10-02 17:47:17,2,484.94,969.88,Mobile Money,0
T00214,C0964,P0158,2026-05-01 11:03:50,3,465.72,1397.16,Cash on Delivery,0
T00215,C0329,P0111,2026-03-04 18:48:49,4,40.12,160.48,Mobile Money,0
T00216,C1253,P0160,2025-06-15 15:43:40,3,56.05,168.15,Card,0
T00217,C0072,P0152,2025-11-13 08:31:34,3,63.49,190.47,Card,0
T00218,C0360,P0129,2025-06-30 17:42:34,3,467.63,1402.89,Card,0
T00219,C0609,P0028,2025-06-10 22:28:32,3,86.81,260.43,Mobile Money,0
T00220,C0678,P0046,2025-10-22 13:28:25,1,314.06,314.06,Card,0
T00221,C1482,P0102,2025-11-08 04:12:46,3,189.48,568.44,Cash on Delivery,0
T00222,C1816,P0054,2025-09-23 03:05:50,2,471.74,943.48,Cash on Delivery,0
T00223,C1005,P0156,2025-11-29 04:10:38,2,495.3,990.6,Mobile Money,1
T00224,C0356,P0016,2026-05-12 17:03:37,1,119.29,119.29,Cash on Delivery,0
T00225,C1963,P0100,2025-06-26 11:13:34,2,42.3,84.6,Card,0
T00226,C0928,P0087,2026-02-14 08:46:06,2,374.51,749.02,Mobile Money,0
T00227,C1747,P0067,2026-03-04 08:16:19,3,97.33,291.99,Mobile Money,0
T00228,C0965,P0185,2026-01-04 17:54:34,1,342.11,342.11,Mobile Money,0
T00229,C1139,P0177,2025-08-10 17:59:09,1,432.25,432.25,Card,0
T00230,C0499,P0019,2025-11-01 02:28:12,4,332.95,1331.8,Mobile Money,1
T00231,C1167,P0198,2025-07-19 11:00:23,4,118.55,474.2,Card,0
T00232,C1048,P0120,2025-10-22 18:42:59,1,30.58,30.58,Card,0
T00233,C1099,P0027,2026-05-05 08:38:15,1,273.63,273.63,Card,0
T00234,C1065,P0023,2025-08-30 05:35:24,1,461.33,461.33,Card,0
T00235,C0415,P0056,2026-04-23 12:51:09,1,486.03,486.03,Card,0
T00236,C0658,P0193,2025-12-06 22:40:00,2,315.64,631.28,Mobile Money,0
T00237,C1576,P0006,2026-04-20 13:22:40,4,469.58,1878.32,Card,1
T00238,C1066,P0193,2026-02-27 12:01:27,3,315.64,946.92,Mobile Money,0
T00239,C0010,P0196,2026-05-27 04:58:50,4,57.84,231.36,Cash on Delivery,0
T00240,C1605,P0069,2026-03-01 09:48:08,1,258.49,258.49,Cash on Delivery,0
T00241,C1891,P0189,2025-06-23 08:34:26,3,446.12,1338.36,Mobile Money,1
T00242,C1639,P0196,2025-09-07 17:23:03,2,57.84,115.68,Mobile Money,0
T00243,C0264,P0123,2025-12-04 23:34:43,2,25.33,50.66,Cash on Delivery,0
T00244,C0161,P0177,2026-01-10 12:44:47,4,432.25,1729.0,Card,0
T00245,C0311,P0019,2025-06-14 22:31:58,2,332.95,665.9,Mobile Money,0
T00246,C0273,P0139,2025-06-15 06:32:47,3,134.14,402.42,Card,1
T00247,C1923,P0170,2025-10-20 14:45:02,1,277.02,277.02,Mobile Money,0
T00248,C1493,P0086,2025-11-28 05:49:20,3,13.95,41.85,Card,1
T00249,C1793,P0103,2025-09-21 03:26:05,2,349.53,699.06,Card,0
T00250,C1451,P0135,2026-05-25 00:30:09,4,91.79,367.16,Mobile Money,0
T00251,C0567,P0119,2026-01-17 01:04:15,2,482.8,965.6,Card,0
T00252,C0252,P0100,2026-03-15 20:00:22,3,42.3,126.9,Card,0
T00253,C1454,P0021,2026-01-09 03:21:28,3,484.94,1454.82,Card,0
T00254,C0264,P0163,2025-11-26 18:40:50,4,479.48,1917.92,Cash on Delivery,0
T00255,C1424,P0068,2025-06-09 19:39:18,3,166.35,499.05,Card,0
T00256,C1216,P0067,2025-08-13 00:51:12,3,97.33,291.99,Cash on Delivery,0
T00257,C0442,P0002,2025-12-10 00:49:44,1,390.95,390.95,Mobile Money,0
T00258,C1139,P0001,2026-03-26 14:54:49,2,190.4,380.8,Mobile Money,1
T00259,C1221,P0135,2025-08-29 19:10:27,4,91.79,367.16,Card,1
T00260,C0856,P0092,2025-09-04 16:55:47,2,220.03,440.06,Card,0
T00261,C1569,P0160,2025-12-16 02:52:26,1,56.05,56.05,Cash on Delivery,0
T00262,C0929,P0073,2026-06-03 11:48:11,1,462.72,462.72,Card,1
T00263,C0796,P0199,2025-12-12 22:04:13,4,487.33,1949.32,Card,0
T00264,C1760,P0087,2025-10-15 23:29:55,1,374.51,374.51,Mobile Money,0
T00265,C1518,P0044,2026-02-14 21:09:58,4,105.52,422.08,Card,0
T00266,C1806,P0183,2025-09-18 17:44:59,2,287.88,575.76,Mobile Money,0
T00267,C1058,P0103,2025-09-03 16:32:08,4,349.53,1398.12,Cash on Delivery,0
T00268,C0016,P0088,2026-02-18 16:01:59,2,361.87,723.74,Mobile Money,0
T00269,C0767,P0165,2026-05-04 15:02:33,1,243.85,243.85,Card,0
T00270,C1032,P0025,2025-07-25 00:39:51,2,197.4,394.8,Cash on Delivery,0
T00271,C0852,P0112,2026-02-07 03:26:15,2,445.55,891.1,Card,0
T00272,C1200,P0146,2026-02-06 13:35:56,4,196.12,784.48,Cash on Delivery,0
T00273,C0914,P0198,2025-06-13 02:34:18,3,118.55,355.65,Mobile Money,0
T00274,C0018,P0111,2025-08-27 03:41:44,4,40.12,160.48,Card,0
T00275,C1059,P0056,2025-06-18 02:26:33,3,486.03,1458.09,Card,0
T00276,C0794,P0134,2025-11-16 15:12:12,2,25.16,50.32,Cash on Delivery,1
T00277,C1807,P0061,2026-02-22 22:40:27,4,76.72,306.88,Mobile Money,1
T00278,C0908,P0091,2026-03-23 01:47:17,4,199.58,798.32,Card,0
T00279,C0199,P0133,2026-02-03 11:16:19,4,174.23,696.92,Cash on Delivery,0
T00280,C1999,P0086,2025-08-23 12:51:15,3,13.95,41.85,Card,0
T00281,C1571,P0045,2026-03-27 16:09:40,1,148.43,148.43,Cash on Delivery,0
T00282,C1677,P0026,2026-03-30 15:15:54,3,295.44,886.32,Mobile Money,1
T00283,C0450,P0131,2025-12-02 18:28:12,1,366.37,366.37,Cash on Delivery,0
T00284,C0471,P0064,2025-10-02 01:51:40,4,402.55,1610.2,Cash on Delivery,0
T00285,C1926,P0164,2025-10-06 15:52:05,1,163.06,163.06,Cash on Delivery,0
T00286,C0886,P0139,2025-06-12 14:57:46,2,134.14,268.28,Mobile Money,0
T00287,C0835,P0162,2026-01-22 06:57:17,1,448.28,448.28,Card,0
T00288,C0994,P0108,2026-05-31 09:38:22,2,151.77,303.54,Cash on Delivery,0
T00289,C0572,P0086,2026-03-29 12:01:25,1,13.95,13.95,Card,0
T00290,C0325,P0054,2025-08-30 14:25:39,1,471.74,471.74,Card,1
T00291,C0382,P0117,2025-12-31 03:54:10,1,155.12,155.12,Card,0
T00292,C1382,P0077,2026-01-18 18:18:39,2,450.71,901.42,Cash on Delivery,0
T00293,C1518,P0196,2026-06-04 13:30:43,2,57.84,115.68,Card,0
T00294,C1442,P0113,2025-12-07 14:34:02,4,291.54,1166.16,Cash on Delivery,1
T00295,C0871,P0106,2026-05-16 17:45:18,3,164.66,493.98,Card,0
T00296,C1224,P0103,2025-11-30 11:08:56,1,349.53,349.53,Cash on Delivery,0
T00297,C0865,P0160,2025-07-13 06:44:01,3,56.05,168.15,Cash on Delivery,0
T00298,C0398,P0136,2025-08-13 08:37:21,2,248.35,496.7,Mobile Money,1
T00299,C0106,P0136,2025-11-07 11:59:54,3,248.35,745.05,Mobile Money,0
T00300,C1078,P0071,2026-04-21 21:29:38,1,196.43,196.43,Cash on Delivery,0
T00301,C0224,P0021,2025-09-30 21:36:52,3,484.94,1454.82,Cash on Delivery,0
T00302,C1038,P0075,2025-06-27 09:20:04,2,279.82,559.64,Cash on Delivery,0
T00303,C1213,P0002,2025-11-08 07:38:09,2,390.95,781.9,Mobile Money,0
T00304,C1425,P0108,2026-04-10 21:35:20,3,151.77,455.31,Mobile Money,0
T00305,C1328,P0078,2025-11-01 09:00:36,1,143.04,143.04,Mobile Money,1
T00306,C1208,P0091,2025-11-11 15:13:15,4,199.58,798.32,Mobile Money,0
T00307,C0012,P0017,2025-07-27 15:34:06,1,65.41,65.41,Card,0
T00308,C0146,P0166,2026-04-14 00:48:50,3,226.98,680.94,Cash on Delivery,0
T00309,C1573,P0026,2025-10-05 23:56:21,3,295.44,886.32,Mobile Money,0
T00310,C0847,P0070,2025-10-11 01:42:48,1,52.61,52.61,Card,0
T00311,C0765,P0170,2026-04-24 12:29:29,1,277.02,277.02,Cash on Delivery,0
T00312,C1484,P0090,2026-03-09 03:54:49,3,128.98,386.94,Mobile Money,0
T00313,C1166,P0041,2026-01-08 06:45:07,3,20.56,61.68,Card,0
T00314,C1761,P0129,2025-07-08 08:48:57,1,467.63,467.63,Mobile Money,0
T00315,C1077,P0183,2025-07-21 16:45:36,1,287.88,287.88,Cash on Delivery,1
T00316,C1695,P0118,2026-03-13 15:37:46,1,263.51,263.51,Card,0
T00317,C1438,P0190,2026-01-09 19:46:21,4,459.96,1839.84,Card,0
T00318,C1986,P0077,2025-06-29 23:32:14,4,450.71,1802.84,Card,0
T00319,C1891,P0045,2026-02-02 19:05:30,2,148.43,296.86,Mobile Money,0
