customer_id,age,gender,region,signup_date,preferred_device,loyalty_tier
C0121,27.0,Female,Cape Coast,2025-04-12,Tablet,Platinum
C0122,34.0,Female,Kumasi,2024-09-13,Mobile,Silver
C0123,37.0,Male,Takoradi,2025-10-09,Tablet,Bronze
C0124,41.0,Male,Takoradi,2023-09-13,Tablet,Platinum
C0125,22.0,Female,Accra,2025-11-06,Tablet,Gold
C0126,51.0,Male,Tamale,2025-06-11,Desktop,Bronze
C0127,23.0,Female,Takoradi,2024-11-30,Tablet,Platinum
C0128,19.0,Male,Tamale,2025-06-22,Mobile,Gold
C0129,30.0,Female,Tamale,2026-02-12,Desktop,Gold
C0130,60.0,Female,Kumasi,2025-12-01,Mobile,Gold
C0131,60.0,Female,Kumasi,2023-09-14,,Platinum
C0132,65.0,Female,Accra,2026-04-27,Desktop,Gold
C0133,28.0,Male,Tamale,2024-02-20,Mobile,Gold
C0134,68.0,Female,Takoradi,2024-01-30,Desktop,Gold
C0135,64.0,Male,Cape Coast,2024-12-16,Mobile,Bronze
C0136,40.0,Male,Tamale,2023-12-07,Desktop,Silver
C0137,33.0,Female,Tamale,2025-05-15,Desktop,Bronze
C0138,48.0,Male,Takoradi,2023-06-08,Mobile,Platinum
C0139,28.0,Male,Takoradi,2026-01-24,Tablet,Gold
C0140,33.0,Female,Cape Coast,2023-12-19,Tablet,Gold
C0141,25.0,Female,Cape Coast,2024-09-10,Desktop,Gold
C0142,21.0,Female,Takoradi,2023-09-26,,Gold
C0143,,Male,Accra,2024-10-08,Tablet,Silver
C0144,21.0,Female,Accra,2023-11-11,Tablet,Silver
C0145,,Male,Kumasi,2024-12-14,Tablet,Platinum
C0146,,Female,Cape Coast,2024-08-07,Tablet,Gold
C0147,49.0,Male,Kumasi,2023-07-09,,Silver
C0148,20.0,Female,Kumasi,2026-05-21,Desktop,Bronze
C0149,44.0,Male,Takoradi,2025-10-09,Mobile,Bronze
C0150,46.0,Female,Kumasi,2024-10-25,Tablet,Platinum
C0151,49.0,Male,Accra,2023-11-06,Tablet,Gold
C0152,67.0,Female,Tamale,2026-04-02,Desktop,Gold
C0153,,Male,Accra,2024-12-13,Desktop,Platinum
C0154,36.0,Male,Accra,2026-01-16,Desktop,Platinum
C0155,38.0,Male,Cape Coast,2024-09-29,Tablet,Bronze
C0156,,Male,Kumasi,2026-05-18,Tablet,Gold
C0157,35.0,Male,Kumasi,2023-10-01,Mobile,Platinum
C0158,45.0,Male,Cape Coast,2025-07-06,Desktop,Platinum
C0159,59.0,Female,Takoradi,2024-01-18,Tablet,Platinum
C0160,39.0,Female,Cape Coast,2026-04-25,Tablet,Bronze
C0161,38.0,Male,Kumasi,2024-02-04,Tablet,Silver
C0162,23.0,Female,Accra,2023-09-28,,Silver
C0163,18.0,Male,Cape Coast,2024-03-28,Mobile,Silver
C0164,22.0,Male,Tamale,2023-07-14,Desktop,Platinum
C0165,58.0,Female,Accra,2024-03-13,,Gold
C0166,29.0,Female,Tamale,2023-09-20,Mobile,Silver
C0167,43.0,Female,Cape Coast,2024-10-17,Tablet,Silver
C0168,63.0,Female,Accra,2025-08-28,Tablet,Silver
C0169,51.0,Male,Takoradi,2024-05-20,Mobile,Bronze
C0170,,Male,Kumasi,2025-04-09,Desktop,Gold
C0171,31.0,Female,Accra,2024-03-01,Desktop,Gold
C0172,43.0,Female,Takoradi,2026-04-05,Tablet,Platinum
C0173,62.0,Female,Accra,2025-05-07,Tablet,Bronze
C0174,44.0,Female,Takoradi,2025-11-12,Tablet,Gold
C0175,26.0,Male,Accra,2024-03-09,Mobile,Bronze
C0176,43.0,Female,Cape Coast,2023-08-02,Mobile,Silver
C0177,,Female,Cape Coast,2025-10-08,Tablet,Platinum
C0178,39.0,Female,Kumasi,2024-11-26,Tablet,Platinum
C0179,64.0,Female,Accra,2026-03-29,Desktop,Gold
C0180,47.0,Female,Takoradi,2025-10-09,Desktop,Bronze
C0181,60.0,Male,Takoradi,2025-06-01,Desktop,Platinum
C0182,65.0,Female,Tamale,2023-07-03,Tablet,Bronze
C0183,34.0,Female,Accra,2025-06-19,Desktop,Gold
C0184,43.0,Female,Accra,2026-04-11,Desktop,Bronze
C0185,,Female,Tamale,2026-01-07,Mobile,Silver
C0186,18.0,Female,Cape Coast,2023-09-20,Desktop,Platinum
C0187,25.0,Male,Kumasi,2024-05-09,Desktop,Silver
C0188,66.0,Female,Tamale,2023-09-27,Tablet,Platinum
C0189,52.0,Male,Accra,2025-01-24,Tablet,Silver
C0190,69.0,Male,Takoradi,2024-12-31,Tablet,Bronze
C0191,32.0,Female,Accra,2024-06-25,Mobile,Bronze
C0192,64.0,Female,Accra,2023-07-08,Tablet,Silver
C0193,39.0,Female,Takoradi,2025-06-17,Tablet,Gold
C0194,31.0,Female,Tamale,2025-04-26,Desktop,Silver
C0195,43.0,Female,Cape Coast,2024-04-19,Mobile,Platinum
C0196,45.0,Male,Cape Coast,2024-12-25,Tablet,Silver
C0197,40.0,Male,Takoradi,2025-11-04,Desktop,Gold
C0198,31.0,Female,Accra,2025-03-17,Desktop,Gold
C0199,41.0,Female,Kumasi,2026-04-23,Desktop,Platinum
C0200,19.0,Female,Takoradi,2024-03-28,Tablet,Platinum
C0201,62.0,Female,Takoradi,2024-03-08,Mobile,Silver
C0202,,Female,Kumasi,2023-12-03,Desktop,Bronze
C0203,31.0,Female,Tamale,2024-03-31,Tablet,Platinum
C0204,68.0,Female,Kumasi,2023-07-08,,Bronze
C0205,24.0,Male,Cape Coast,2024-11-27,Tablet,Gold
C0206,20.0,Male,Tamale,2025-12-12,Mobile,Platinum
C0207,64.0,Male,Kumasi,2024-08-11,Desktop,Silver
C0208,40.0,Male,Tamale,2024-06-17,Desktop,Gold
C0209,63.0,Female,Accra,2025-08-21,Desktop,Platinum
C0210,60.0,Female,Tamale,2025-05-09,Tablet,Bronze
C0211,64.0,Male,Kumasi,2026-03-16,Tablet,Gold
C0212,62.0,Male,Accra,2023-08-11,Desktop,Bronze
C0213,35.0,Male,Tamale,2024-11-20,Mobile,Gold
C0214,55.0,Male,Accra,2025-12-14,Desktop,Bronze
C0215,52.0,Female,Takoradi,2024-09-24,Desktop,Platinum
C0216,68.0,Male,Kumasi,2026-01-05,Tablet,Platinum
C0217,32.0,Male,Kumasi,2025-06-07,Mobile,Bronze
C0218,42.0,Female,Cape Coast,2024-05-31,Tablet,Silver
C0219,54.0,Female,Cape Coast,2023-07-22,Mobile,Silver
C0220,45.0,Female,Takoradi,2025-02-08,Desktop,Gold
C0221,27.0,Male,Tamale,2025-04-18,Desktop,Silver
C0222,56.0,Male,Tamale,2024-06-07,Desktop,Gold
C0223,34.0,Female,Takoradi,2025-10-10,Desktop,Gold
C0224,56.0,Male,Tamale,2024-06-25,Desktop,Bronze
C0225,39.0,Male,Tamale,2025-02-17,Tablet,Gold
C0226,43.0,Female,Takoradi,2025-03-08,Mobile,Platinum
C0227,61.0,Female,Accra,2024-11-17,Tablet,Bronze
C0228,42.0,Female,Takoradi,2025-11-20,Mobile,Gold
C0229,34.0,Male,Kumasi,2023-12-27,Tablet,Gold
C0230,30.0,Male,Accra,2024-01-11,Tablet,Bronze
C0231,37.0,Female,Tamale,2025-03-11,Mobile,Gold
C0232,42.0,Male,Accra,2024-11-07,Desktop,Gold
C0233,21.0,Female,Kumasi,2026-01-11,Mobile,Silver
C0234,27.0,Female,Cape Coast,2025-04-13,Tablet,Gold
C0235,20.0,Male,Takoradi,2026-05-19,Desktop,Gold
C0236,58.0,Female,Accra,2025-08-07,Desktop,Bronze
C0237,62.0,Male,Kumasi,2024-04-07,Tablet,Platinum
C0238,35.0,Female,Accra,2024-02-17,Desktop,Bronze
C0239,64.0,Female,Cape Coast,2026-01-23,Mobile,Platinum
C0240,53.0,Female,Takoradi,2025-05-08,Tablet,Platinum
C0241,64.0,Female,Accra,2025-11-28,Tablet,Silver
C0242,39.0,Female,Accra,2023-07-18,Tablet,Gold
C0243,51.0,Male,Accra,2025-02-20,Tablet,Platinum
C0244,,Female,Tamale,2024-10-16,Mobile,Silver
C0245,25.0,Male,Accra,2025-06-22,,Platinum
C0246,57.0,Male,Accra,2023-12-06,Mobile,Silver
C0247,66.0,Female,Tamale,2024-10-22,Desktop,Platinum
C0248,61.0,Male,Tamale,2023-12-10,,Bronze
C0249,36.0,Female,Cape Coast,2024-04-16,Desktop,Gold
C0250,59.0,Male,Takoradi,2024-08-30,Mobile,Platinum
C0251,58.0,Female,Kumasi,2024-08-28,Desktop,Bronze
C0252,54.0,Female,Cape Coast,2025-04-11,Tablet,Gold
C0253,23.0,Male,Tamale,2023-12-23,Desktop,Silver
C0254,69.0,Male,Tamale,2025-10-12,Mobile,Silver
C0255,43.0,Male,Accra,2026-02-18,Desktop,Silver
C0256,51.0,Male,Cape Coast,2025-05-29,Mobile,Bronze
C0257,62.0,Male,Cape Coast,2024-01-13,Mobile,Silver
C0258,23.0,Female,Kumasi,2023-06-30,Tablet,Bronze
C0259,54.0,Female,Kumasi,2024-03-23,Mobile,Gold
C0260,50.0,Male,Accra,2026-05-17,Tablet,Bronze
C0261,39.0,Male,Accra,2023-08-09,Desktop,Silver
C0262,38.0,Female,Accra,2023-07-21,,Gold
C0263,23.0,Male,Kumasi,2023-06-08,Tablet,Platinum
C0264,23.0,Male,Accra,2023-08-06,Desktop,Platinum
C0265,65.0,Female,Cape Coast,2025-12-29,Tablet,Bronze
C0266,21.0,Female,Cape Coast,2024-08-12,Mobile,Bronze
C0267,47.0,Female,Tamale,2025-05-02,Tablet,Bronze
C0268,28.0,Male,Tamale,2025-01-17,Desktop,Platinum
C0269,47.0,Male,Tamale,2025-09-18,Tablet,Platinum
C0270,48.0,Male,Accra,2025-01-30,Desktop,Silver
C0271,41.0,Male,Kumasi,2024-02-10,Desktop,Gold
C0272,26.0,Female,Cape Coast,2023-07-01,Tablet,Gold
C0273,20.0,Female,Cape Coast,2025-02-28,Tablet,Platinum
C0274,68.0,Male,Accra,2025-10-29,Tablet,Silver
C0275,48.0,Female,Tamale,2025-05-11,Mobile,Platinum
C0276,57.0,Female,Tamale,2023-11-14,Desktop,Platinum
C0277,54.0,Male,Takoradi,2025-09-03,Desktop,Gold
C0278,,Female,Takoradi,2024-11-06,Mobile,Platinum
C0279,41.0,Male,Accra,2024-08-19,Mobile,Bronze
C0280,48.0,Female,Accra,2023-12-30,Tablet,Gold
C0281,23.0,Male,Cape Coast,2023-11-16,Mobile,Gold
C0282,19.0,Male,Tamale,2023-08-07,Desktop,Platinum
C0283,37.0,Male,Takoradi,2026-04-24,Tablet,Gold
C0284,45.0,Female,Accra,2023-07-09,,Silver
C0285,28.0,Male,Tamale,2025-08-01,Mobile,Bronze
C0286,21.0,Female,Cape Coast,2025-09-26,Desktop,Bronze
C0287,32.0,Female,Cape Coast,2025-10-02,Mobile,Platinum
C0288,,Male,Cape Coast,2024-02-24,Tablet,Gold
C0289,66.0,Male,Kumasi,2026-02-19,Desktop,Gold
C0290,47.0,Female,Takoradi,2025-04-08,Mobile,Silver
C0291,55.0,Male,Cape Coast,2025-08-28,Tablet,Platinum
C0292,68.0,Male,Kumasi,2025-07-27,Tablet,Bronze
C0293,19.0,Male,Cape Coast,2023-08-03,Mobile,Platinum
C0294,32.0,Female,Tamale,2024-08-05,,Silver
C0295,28.0,Female,Takoradi,2025-07-12,Tablet,Gold
C0296,25.0,Male,Accra,2023-11-08,Mobile,Silver
C0297,43.0,Male,Accra,2025-04-18,Desktop,Platinum
C0298,68.0,Female,Tamale,2026-02-06,Tablet,Platinum
C0299,62.0,Female,Takoradi,2025-03-08,,Bronze
C0300,61.0,Female,Tamale,2023-12-31,Mobile,Gold
C0301,22.0,Female,Cape Coast,2026-02-12,Tablet,Gold
C0302,23.0,Male,Kumasi,2024-11-28,Desktop,Bronze
C0303,43.0,Male,Kumasi,2026-04-20,Desktop,Silver
C0304,,Male,Takoradi,2026-02-20,Desktop,Gold
C0305,36.0,Male,Accra,2023-07-25,Desktop,Platinum
C0306,37.0,Male,Kumasi,2023-11-10,Desktop,Silver
C0307,,Female,Accra,2025-05-17,Desktop,Bronze
C0308,37.0,Female,Accra,2024-12-01,Desktop,Bronze
C0309,66.0,Female,Cape Coast,2026-04-03,Desktop,Platinum
C0310,29.0,Female,Takoradi,2023-08-04,,Platinum
C0311,64.0,Male,Takoradi,2023-09-21,Mobile,Platinum
C0312,18.0,Female,Accra,2023-12-21,Desktop,Bronze
C0313,43.0,Male,Tamale,2025-03-26,Tablet,Platinum
C0314,31.0,Male,Tamale,2024-12-04,Desktop,Gold
C0315,55.0,Male,Takoradi,2024-09-01,Mobile,Bronze
C0316,,Male,Cape Coast,2024-08-09,Tablet,Silver
C0317,28.0,Female,Takoradi,2026-04-06,Tablet,Silver
C0318,53.0,Male,Accra,2025-10-06,Mobile,Gold
C0319,30.0,Male,Kumasi,2025-10-08,,Silver
C0320,60.0,Male,Kumasi,2025-11-02,Tablet,Platinum
C0321,20.0,Female,Cape Coast,2026-04-04,,Platinum
C0322,50.0,Female,Takoradi,2026-04-23,Mobile,Platinum
C0323,23.0,Male,Tamale,2024-07-10,Desktop,Gold
C0324,67.0,Female,Cape Coast,2024-10-27,Mobile,Gold
C0325,27.0,Male,Takoradi,2023-07-22,Desktop,Platinum
C0326,22.0,Male,Accra,2024-10-26,Desktop,Gold
C0327,40.0,Male,Accra,2026-05-29,Tablet,Platinum
C0328,27.0,Female,Cape Coast,2025-05-16,Tablet,Bronze
C0329,61.0,Female,Cape Coast,2023-11-10,Tablet,Silver
C0330,,Female,Cape Coast,2023-09-09,Desktop,Silver
C0331,30.0,Male,Tamale,2023-12-26,Mobile,Gold
C0332,57.0,Male,Cape Coast,2025-11-20,Tablet,Silver
C0333,19.0,Male,Kumasi,2024-10-18,Tablet,Platinum
C0334,37.0,Female,Cape Coast,2024-06-15,Tablet,Silver
C0335,18.0,Female,Takoradi,2025-07-22,,Platinum
C0336,54.0,Female,Takoradi,2026-06-06,Tablet,Bronze
C0337,26.0,Female,Accra,2023-10-03,Desktop,Bronze
C0338,34.0,Female,Takoradi,2026-04-17,Desktop,Silver
C0339,26.0,Female,Accra,2026-05-29,Tablet,Silver
C0340,28.0,Female,Takoradi,2025-05-27,Tablet,Platinum
C0341,32.0,Male,Cape Coast,2023-12-21,,Bronze
C0342,41.0,Female,Cape Coast,2025-10-16,Desktop,Gold
C0343,55.0,Male,Cape Coast,2023-08-08,Mobile,Platinum
C0344,52.0,Female,Accra,2025-07-12,Desktop,Gold
C0345,47.0,Male,Kumasi,2026-02-26,Desktop,Platinum
C0346,48.0,Male,Kumasi,2025-07-19,Mobile,Silver
C0347,66.0,Male,Takoradi,2025-04-09,Mobile,Bronze
C0348,22.0,Female,Cape Coast,2024-10-28,Mobile,Platinum
C0349,61.0,Male,Kumasi,2024-02-16,Mobile,Silver
C0350,67.0,Female,Accra,2023-12-15,Desktop,Gold
C0351,31.0,Male,Tamale,2025-06-29,Tablet,Gold
C0352,28.0,Female,Kumasi,2026-01-17,Tablet,Silver
C0353,26.0,Female,Tamale,2025-08-06,Mobile,Gold
C0354,51.0,Female,Tamale,2024-03-21,Desktop,Platinum
C0355,29.0,Female,Kumasi,2025-06-02,Mobile,Silver
C0356,52.0,Female,Accra,2024-08-03,Tablet,Platinum
C0357,52.0,Female,Cape Coast,2025-09-11,Mobile,Bronze
C0358,18.0,Female,Accra,2025-05-20,Mobile,Gold
C0359,57.0,Female,Cape Coast,2026-06-05,Mobile,Platinum
C0360,39.0,Male,Kumasi,2025-11-05,Desktop,Gold
C0361,46.0,Male,Tamale,2025-09-17,Mobile,Platinum
C0362,25.0,Female,Kumasi,2023-07-30,Desktop,Bronze
C0363,28.0,Female,Kumasi,2024-05-26,Mobile,Gold
C0364,58.0,Male,Takoradi,2024-10-21,Mobile,Silver
C0365,54.0,Male,Takoradi,2025-12-10,Desktop,Silver
C0366,31.0,Female,Tamale,2025-06-28,Tablet,Bronze
C0367,47.0,Male,Accra,2025-02-16,Desktop,Silver
C0368,52.0,Male,Cape Coast,2024-05-26,Tablet,Platinum
C0369,38.0,Male,Takoradi,2026-05-14,Mobile,Gold
C0370,54.0,Male,Accra,2025-01-24,Mobile,Platinum
C0371,22.0,Female,Accra,2023-07-16,Mobile,Platinum
C0372,36.0,Male,Cape Coast,2025-08-28,Tablet,Silver
C0373,31.0,Male,Takoradi,2025-05-17,Desktop,Bronze
C0374,43.0,Female,Kumasi,2024-05-02,Tablet,Platinum
C0375,21.0,Male,Accra,2025-10-31,Tablet,Gold
C0376,42.0,Male,Cape Coast,2024-06-16,,Bronze
C0377,62.0,Female,Tamale,2024-11-01,Mobile,Platinum
C0378,59.0,Female,Takoradi,2024-06-27,Tablet,Bronze
C0379,42.0,Female,Accra,2024-12-03,Desktop,Silver
C0380,35.0,Male,Cape Coast,2025-05-25,Tablet,Gold
C0381,57.0,Male,Accra,2024-03-13,,Gold
C0382,25.0,Male,Tamale,2025-12-03,Tablet,Platinum
C0383,56.0,Male,Kumasi,2025-10-19,Mobile,Platinum
C0384,57.0,Male,Takoradi,2024-05-15,Mobile,Bronze
C0385,31.0,Male,Accra,2024-06-10,Desktop,Gold
C0386,49.0,Female,Cape Coast,2025-06-14,Desktop,Gold
C0387,68.0,Male,Kumasi,2024-08-02,Desktop,Gold
C0388,55.0,Male,Takoradi,2023-09-03,Desktop,Bronze
C0389,50.0,Female,Tamale,2025-07-29,Desktop,Platinum
C0390,,Female,Takoradi,2026-02-17,Mobile,Platinum
C0391,,Female,Takoradi,2025-08-10,Tablet,Gold
C0392,,Male,Tamale,2025-11-22,Mobile,Platinum
C0393,42.0,Male,Cape Coast,2025-06-30,Desktop,Gold
C0394,34.0,Male,Accra,2023-09-04,Desktop,Gold
C0395,50.0,Female,Tamale,2023-07-11,Tablet,Platinum
C0396,64.0,Male,Tamale,2026-01-30,Desktop,Platinum
C0397,19.0,Male,Takoradi,2025-03-21,Tablet,Platinum
C0398,31.0,Female,Accra,2025-09-30,Mobile,Platinum
C0399,57.0,Female,Cape Coast,2023-12-04,Tablet,Silver
C0400,57.0,Male,Kumasi,2025-06-15,Tablet,Platinum
C0401,68.0,Male,Kumasi,2025-04-19,Mobile,Silver
C0402,56.0,Female,Takoradi,2025-02-15,Desktop,Bronze
C0403,68.0,Male,Tamale,2024-07-26,Desktop,Gold
C0404,23.0,Female,Accra,2023-10-14,Tablet,Silver
C0405,23.0,Female,Tamale,2024-06-08,Desktop,Gold
C0406,20.0,Male,Accra,2025-03-10,Mobile,Silver
C0407,24.0,Female,Cape Coast,2026-06-02,Desktop,Bronze
C0408,,Female,Takoradi,2024-08-30,Tablet,Platinum
C0409,,Male,Cape Coast,2024-10-30,Desktop,Platinum
C0410,59.0,Male,Accra,2026-04-01,Mobile,Bronze
C0411,69.0,Female,Kumasi,2025-11-24,Tablet,Platinum
C0412,32.0,Male,Takoradi,2023-10-18,Tablet,Gold
C0413,64.0,Male,Cape Coast,2023-10-24,Tablet,Gold
C0414,46.0,Female,Kumasi,2024-04-20,Tablet,Silver
C0415,50.0,Female,Cape Coast,2025-07-04,Mobile,Bronze
C0416,69.0,Male,Kumasi,2024-02-04,Mobile,Platinum
C0417,47.0,Male,Takoradi,2024-08-09,Tablet,Gold
C0418,56.0,Female,Cape Coast,2025-05-08,Mobile,Bronze
C0419,44.0,Male,Takoradi,2024-10-07,Desktop,Platinum
C0420,53.0,Female,Tamale,2025-10-25,Tablet,Bronze
C0421,46.0,Male,Takoradi,2025-10-06,Tablet,Bronze
C0422,55.0,Female,Tamale,2025-05-22,Tablet,Gold
C0423,50.0,Male,Cape Coast,2025-07-12,Tablet,Silver
C0424,54.0,Male,Tamale,2025-12-11,Tablet,Bronze
C0425,44.0,Male,Cape Coast,2026-04-30,Mobile,Gold
C0426,50.0,Male,Kumasi,2025-07-16,,Silver
